District_code,District_name,Learning_Modality,Operational_Schools,Student_Count,City,State,ZIP_Code
100005,Albertville City,In Person,6,5824,Albertville,AL,35950
100006,Marshall County,In Person,15,5764,Guntersville,AL,35976
100007,Hoover City,In Person,18,14061,Hoover,AL,35243
100008,Madison City,In Person,11,11695,Madison,AL,35758
100011,Leeds City,In Person,4,2076,Leeds,AL,35094
100012,Boaz City,In Person,5,2440,Boaz,AL,35957
100030,Alexander City,In Person,5,3036,Alexander City,AL,35010
100060,Andalusia City,In Person,3,1839,Andalusia,AL,36421
100100,Arab City,In Person,4,2696,Arab,AL,35016
100120,Athens City,In Person,8,4505,Athens,AL,35611
100180,Attalla City,In Person,3,1490,Attalla,AL,35954
100185,Saraland City,In Person,4,3233,Saraland,AL,36571
100188,Chickasaw City,In Person,3,1514,Chickasaw,AL,36611
100190,Alabaster City,In Person,5,6293,Alabaster,AL,35007
100194,Pelham City,In Person,4,3383,Pelham,AL,35124
100197,Acceleration Day and Evening Academy,In Person,1,318,Mobile,AL,36606
100199,University Charter School,In Person,1,431,Livingston,AL,35470
100210,Auburn City,In Person,13,8930,Auburn,AL,36830
100240,Autauga County,In Person,15,9120,Prattville,AL,36067
100270,Baldwin County,In Person,46,30602,Bay Minette,AL,36507
103420,Tuscumbia City,In Person,6,1477,Tuscumbia,AL,35674
103430,Vestavia Hills City,In Person,9,7137,Vestavia Hills,AL,35216
103510,Wilcox County,In Person,6,1490,Camden,AL,36726
103540,Winfield City,In Person,3,1272,Winfield,AL,35594
103580,Winston County,In Person,10,2292,Double Springs,AL,35553
200001,Lower Kuskokwim School District,In Person,29,4245,Bethel,AK,99559
200003,Lower Yukon School District,In Person,11,2027,Mountain Village,AK,99632
200007,Aleutians East Borough School District,In Person,4,234,Sand Point,AK,99661
200010,Aleutian Region School District,In Person,2,29,Anchorage,AK,99518
200020,Bering Strait School District,In Person,15,1900,Unalakleet,AK,99684
200050,Alaska Gateway School District,In Person,8,409,Tok,AK,99780
200060,Cordova City School District,In Person,3,336,Cordova,AK,99574
200070,Copper River School District,In Person,5,446,Glennallen,AK,99588
200100,Delta/Greely School District,In Person,5,791,Delta Junction,AK,99737
200130,Galena City School District,In Person,4,5326,Galena,AK,99741
200150,Ketchikan Gateway Borough School District,In Person,9,2291,Ketchikan,AK,99901
200180,Anchorage School District,In Person,97,46143,Anchorage,AK,99504
200210,Juneau Borough School District,In Person,15,4725,Juneau,AK,99801
200240,Sitka School District,In Person,6,1203,Sitka,AK,99835
200270,Haines Borough School District,In Person,3,276,Haines,AK,99827
400204,Mountain Rose Academy Inc. (10879),In Person,1,268,TUCSON,AZ,85741
400205,Great Expectations Academy (10974),In Person,1,296,SAHUARITA,AZ,85629
400211,Mary Ellen Halvorson Educational Foundation. dba: (10965),In Person,1,279,PRESCOTT,AZ,86301
400212,Benson Unified School District (79226),In Person,5,1336,BENSON,AZ,85602
400213,Painted Desert Demonstration Projects Inc. (79086),In Person,1,100,FLAGSTAFF,AZ,86004
400218,American Basic Schools LLC (79215),In Person,1,826,MESA,AZ,85204
400225,Horizon Community Learning Center Inc. (79264),In Person,1,724,PHOENIX,AZ,85048
400229,Milestones Charter School (79207),In Person,1,205,PHOENIX,AZ,85032
400231,James Madison Preparatory School (79063),In Person,1,181,TEMPE,AZ,85283
400239,P.L.C. Charter Schools (6235),In Person,1,1236,TOLLESON,AZ,85353
400241,Paragon Management Inc. (5180),In Person,2,2714,SURPRISE,AZ,85388
400244,Edkey Inc. - Sequoia Charter School (6446),In Person,2,861,MESA,AZ,85204
400246,Edkey Inc. - Sequoia Village School (79211),In Person,3,485,SHOW LOW,AZ,85901
400248,Telesis Center for Learning Inc. (79218),In Person,2,372,Lake Havasu City,AZ,86403
400255,Tucson Country Day School Inc. (79073),In Person,1,655,TUCSON,AZ,85715
400259,Southgate Academy Inc. (79085),In Person,1,570,TUCSON,AZ,85706
400263,Patagonia Montessori Elementary School (79069),In Person,1,21,PATAGONIA,AZ,85624
400268,Juniper Tree Academy (79064),In Person,1,931,YUMA,AZ,85364
400275,Highland Free School (79061),In Person,1,56,TUCSON,AZ,85719
400282,Harvest Power Community Development Group Inc. (79501),In Person,3,1619,YUMA,AZ,85364
400890,ASU Preparatory Academy (92325),In Person,1,468,PHOENIX,AZ,85006
400891,Academy of Mathematics and Science South Inc. (90878),In Person,6,1882,TUCSON,AZ,85705
400892,Legacy Traditional School - Casa Grande (92199),In Person,1,1275,Casa Grande,AZ,85122
400893,Hirsch Academy A Challenge Foundation (91275),In Person,1,149,SCOTTSDALE,AZ,85251
400899,Legacy Traditional School - Gilbert (92047),In Person,1,1128,CHANDLER,AZ,85286
400916,EAGLE College Prep Maryvale LLC (91938),In Person,1,406,PHOENIX,AZ,85031
400918,Arizona Language Preparatory (92566),In Person,1,81,PHOENIX,AZ,85032
400924,Western School of Science and Technology Inc. (91937),In Person,1,530,PHOENIX,AZ,85033
400927,Legacy Traditional School - Queen Creek (92610),In Person,1,1342,San Tan Valley,AZ,85140
400929,Noah Webster Schools-Pima (92374),In Person,1,488,MESA,AZ,85209
400930,Archway Classical Academy Trivium East (92704),In Person,1,513,PHOENIX,AZ,85034
400933,Legacy Traditional School - Surprise (92879),In Person,1,1928,SURPRISE,AZ,85379
400940,Academy of Mathematics and Science Inc. (92768),In Person,1,1152,PHOENIX,AZ,85033
400944,Leman Academy of Excellence Inc. (92730),In Person,6,3432,Tucson,AZ,85743
400945,Pensar Academy (92972),In Person,1,248,PHOENIX,AZ,85015
400948,Legacy Traditional School - Glendale (850100),In Person,1,1181,Glendale,AZ,85306
400951,Legacy Traditional School - Peoria (850099),In Person,1,709,PEORIA,AZ,85383
400953,The Grande Innovation Academy (92978),In Person,1,669,CASA GRANDE,AZ,85122
400956,ASU Preparatory Academy (92716),In Person,1,115,Tempe,AZ,85281
400959,Legacy Traditional School - Phoenix (873957),In Person,1,1429,PHOENIX,AZ,85037
405030,Miami Unified District (4211),In Person,5,1031,MIAMI,AZ,85539
405070,Mingus Union High School District (4488),In Person,2,1273,COTTONWOOD,AZ,86326
405100,Mobile Elementary District (4253),In Person,1,24,MARICOPA,AZ,85139
405190,Mohave Valley Elementary District (4379),In Person,3,1026,MOHAVE VALLEY,AZ,86440
405220,Mohawk Valley Elementary District (4503),In Person,1,141,Roll,AZ,85347
405320,Morenci Unified District (4230),In Person,3,1492,MORENCI,AZ,85540
405340,Morristown Elementary District (4251),In Person,1,102,Morristown,AZ,85342
405400,Murphy Elementary District (4265),In Person,3,1564,PHOENIX,AZ,85009
405430,Naco Elementary District (4176),In Person,1,315,Naco,AZ,85620
405500,Navajo County Accommodation District #99 (4386),In Person,1,21,HOLBROOK,AZ,86025
405530,Nogales Unified District (4457),In Person,11,5654,NOGALES,AZ,85621
405670,Osborn Elementary District (4262),In Person,6,2854,PHOENIX,AZ,85013
