District_code,District_name,Week,Learning_Modality,Operational_Schools,Student_Count,City,State,ZIP_Code
0100005,Albertville City,2022 Dec 25 12:00:00 AM,In Person,6,"5,824",Albertville,AL,35950
0100006,Marshall County,2022 Dec 25 12:00:00 AM,In Person,15,"5,764",Guntersville,AL,35976
0100007,Hoover City,2022 Dec 25 12:00:00 AM,In Person,18,"14,061",Hoover,AL,35243
0100008,Madison City,2022 Dec 25 12:00:00 AM,In Person,11,"11,695",Madison,AL,35758
0100011,Leeds City,2022 Dec 25 12:00:00 AM,In Person,4,"2,076",Leeds,AL,35094
0100012,Boaz City,2022 Dec 25 12:00:00 AM,In Person,5,"2,440",Boaz,AL,35957
0100030,Alexander City,2022 Dec 25 12:00:00 AM,In Person,5,"3,036",Alexander City,AL,35010
0100060,Andalusia City,2022 Dec 25 12:00:00 AM,In Person,3,"1,839",Andalusia,AL,36421
0100100,Arab City,2022 Dec 25 12:00:00 AM,In Person,4,"2,696",Arab,AL,35016
0100120,Athens City,2022 Dec 25 12:00:00 AM,In Person,8,"4,505",Athens,AL,35611
0100180,Attalla City,2022 Dec 25 12:00:00 AM,In Person,3,"1,490",Attalla,AL,35954
0100185,Saraland City,2022 Dec 25 12:00:00 AM,In Person,4,"3,233",Saraland,AL,36571
0100188,Chickasaw City,2022 Dec 25 12:00:00 AM,In Person,3,"1,514",Chickasaw,AL,36611
0100190,Alabaster City,2022 Dec 25 12:00:00 AM,In Person,5,"6,293",Alabaster,AL,35007
0100194,Pelham City,2022 Dec 25 12:00:00 AM,In Person,4,"3,383",Pelham,AL,35124
0100197,Acceleration Day and Evening Academy,2022 Dec 25 12:00:00 AM,In Person,1,318,Mobile,AL,36606
0100199,University Charter School,2022 Dec 25 12:00:00 AM,In Person,1,431,Livingston,AL,35470
0100210,Auburn City,2022 Dec 25 12:00:00 AM,In Person,13,"8,930",Auburn,AL,36830
0100240,Autauga County,2022 Dec 25 12:00:00 AM,In Person,15,"9,120",Prattville,AL,36067
0100270,Baldwin County,2022 Dec 25 12:00:00 AM,In Person,46,"30,602",Bay Minette,AL,36507
0103420,Tuscumbia City,2022 Dec 25 12:00:00 AM,In Person,6,"1,477",Tuscumbia,AL,35674
0103430,Vestavia Hills City,2022 Dec 25 12:00:00 AM,In Person,9,"7,137",Vestavia Hills,AL,35216
0103510,Wilcox County,2022 Dec 25 12:00:00 AM,In Person,6,"1,490",Camden,AL,36726
0103540,Winfield City,2022 Dec 25 12:00:00 AM,In Person,3,"1,272",Winfield,AL,35594
0103580,Winston County,2022 Dec 25 12:00:00 AM,In Person,10,"2,292",Double Springs,AL,35553
0200001,Lower Kuskokwim School District,2022 Dec 25 12:00:00 AM,In Person,29,"4,245",Bethel,AK,99559
0200003,Lower Yukon School District,2022 Dec 25 12:00:00 AM,In Person,11,"2,027",Mountain Village,AK,99632
0200007,Aleutians East Borough School District,2022 Dec 25 12:00:00 AM,In Person,4,234,Sand Point,AK,99661
0200010,Aleutian Region School District,2022 Dec 25 12:00:00 AM,In Person,2,29,Anchorage,AK,99518
0200020,Bering Strait School District,2022 Dec 25 12:00:00 AM,In Person,15,"1,900",Unalakleet,AK,99684
0200050,Alaska Gateway School District,2022 Dec 25 12:00:00 AM,In Person,8,409,Tok,AK,99780
0200060,Cordova City School District,2022 Dec 25 12:00:00 AM,In Person,3,336,Cordova,AK,99574
0200070,Copper River School District,2022 Dec 25 12:00:00 AM,In Person,5,446,Glennallen,AK,99588
0200100,Delta/Greely School District,2022 Dec 25 12:00:00 AM,In Person,5,791,Delta Junction,AK,99737
0200130,Galena City School District,2022 Dec 25 12:00:00 AM,In Person,4,"5,326",Galena,AK,99741
0200150,Ketchikan Gateway Borough School District,2022 Dec 25 12:00:00 AM,In Person,9,"2,291",Ketchikan,AK,99901
0200180,Anchorage School District,2022 Dec 25 12:00:00 AM,In Person,97,"46,143",Anchorage,AK,99504
0200210,Juneau Borough School District,2022 Dec 25 12:00:00 AM,In Person,15,"4,725",Juneau,AK,99801
0200240,Sitka School District,2022 Dec 25 12:00:00 AM,In Person,6,"1,203",Sitka,AK,99835
0200270,Haines Borough School District,2022 Dec 25 12:00:00 AM,In Person,3,276,Haines,AK,99827
0400204,Mountain Rose Academy Inc. (10879),2022 Dec 25 12:00:00 AM,In Person,1,268,TUCSON,AZ,85741
0400205,Great Expectations Academy (10974),2022 Dec 25 12:00:00 AM,In Person,1,296,SAHUARITA,AZ,85629
0400211,Mary Ellen Halvorson Educational Foundation. dba: (10965),2022 Dec 25 12:00:00 AM,In Person,1,279,PRESCOTT,AZ,86301
0400212,Benson Unified School District (79226),2022 Dec 25 12:00:00 AM,In Person,5,"1,336",BENSON,AZ,85602
0400213,Painted Desert Demonstration Projects Inc. (79086),2022 Dec 25 12:00:00 AM,In Person,1,100,FLAGSTAFF,AZ,86004
0400218,American Basic Schools LLC (79215),2022 Dec 25 12:00:00 AM,In Person,1,826,MESA,AZ,85204
0400225,Horizon Community Learning Center Inc. (79264),2022 Dec 25 12:00:00 AM,In Person,1,724,PHOENIX,AZ,85048
0400229,Milestones Charter School (79207),2022 Dec 25 12:00:00 AM,In Person,1,205,PHOENIX,AZ,85032
0400231,James Madison Preparatory School (79063),2022 Dec 25 12:00:00 AM,In Person,1,181,TEMPE,AZ,85283
0400239,P.L.C. Charter Schools (6235),2022 Dec 25 12:00:00 AM,In Person,1,"1,236",TOLLESON,AZ,85353
0400241,Paragon Management Inc. (5180),2022 Dec 25 12:00:00 AM,In Person,2,"2,714",SURPRISE,AZ,85388
0400244,Edkey Inc. - Sequoia Charter School (6446),2022 Dec 25 12:00:00 AM,In Person,2,861,MESA,AZ,85204
0400246,Edkey Inc. - Sequoia Village School (79211),2022 Dec 25 12:00:00 AM,In Person,3,485,SHOW LOW,AZ,85901
0400248,Telesis Center for Learning Inc. (79218),2022 Dec 25 12:00:00 AM,In Person,2,372,Lake Havasu City,AZ,86403
0400255,Tucson Country Day School Inc. (79073),2022 Dec 25 12:00:00 AM,In Person,1,655,TUCSON,AZ,85715
0400259,Southgate Academy Inc. (79085),2022 Dec 25 12:00:00 AM,In Person,1,570,TUCSON,AZ,85706
0400263,Patagonia Montessori Elementary School (79069),2022 Dec 25 12:00:00 AM,In Person,1,21,PATAGONIA,AZ,85624
0400268,Juniper Tree Academy (79064),2022 Dec 25 12:00:00 AM,In Person,1,931,YUMA,AZ,85364
0400275,Highland Free School (79061),2022 Dec 25 12:00:00 AM,In Person,1,56,TUCSON,AZ,85719
0400282,Harvest Power Community Development Group Inc. (79501),2022 Dec 25 12:00:00 AM,In Person,3,"1,619",YUMA,AZ,85364
0400890,ASU Preparatory Academy (92325),2022 Dec 25 12:00:00 AM,In Person,1,468,PHOENIX,AZ,85006
0400891,Academy of Mathematics and Science South Inc. (90878),2022 Dec 25 12:00:00 AM,In Person,6,"1,882",TUCSON,AZ,85705
0400892,Legacy Traditional School - Casa Grande (92199),2022 Dec 25 12:00:00 AM,In Person,1,"1,275",Casa Grande,AZ,85122
0400893,Hirsch Academy A Challenge Foundation (91275),2022 Dec 25 12:00:00 AM,In Person,1,149,SCOTTSDALE,AZ,85251
0400899,Legacy Traditional School - Gilbert (92047),2022 Dec 25 12:00:00 AM,In Person,1,"1,128",CHANDLER,AZ,85286
0400916,EAGLE College Prep Maryvale LLC (91938),2022 Dec 25 12:00:00 AM,In Person,1,406,PHOENIX,AZ,85031
0400918,Arizona Language Preparatory (92566),2022 Dec 25 12:00:00 AM,In Person,1,81,PHOENIX,AZ,85032
0400924,Western School of Science and Technology Inc. (91937),2022 Dec 25 12:00:00 AM,In Person,1,530,PHOENIX,AZ,85033
0400927,Legacy Traditional School - Queen Creek (92610),2022 Dec 25 12:00:00 AM,In Person,1,"1,342",San Tan Valley,AZ,85140
0400929,Noah Webster Schools-Pima (92374),2022 Dec 25 12:00:00 AM,In Person,1,488,MESA,AZ,85209
0400930,Archway Classical Academy Trivium East (92704),2022 Dec 25 12:00:00 AM,In Person,1,513,PHOENIX,AZ,85034
0400933,Legacy Traditional School - Surprise (92879),2022 Dec 25 12:00:00 AM,In Person,1,"1,928",SURPRISE,AZ,85379
0400940,Academy of Mathematics and Science Inc. (92768),2022 Dec 25 12:00:00 AM,In Person,1,"1,152",PHOENIX,AZ,85033
0400944,Leman Academy of Excellence Inc. (92730),2022 Dec 25 12:00:00 AM,In Person,6,"3,432",Tucson,AZ,85743
0400945,Pensar Academy (92972),2022 Dec 25 12:00:00 AM,In Person,1,248,PHOENIX,AZ,85015
0400948,Legacy Traditional School - Glendale (850100),2022 Dec 25 12:00:00 AM,In Person,1,"1,181",Glendale,AZ,85306
0400951,Legacy Traditional School - Peoria (850099),2022 Dec 25 12:00:00 AM,In Person,1,709,PEORIA,AZ,85383
0400953,The Grande Innovation Academy (92978),2022 Dec 25 12:00:00 AM,In Person,1,669,CASA GRANDE,AZ,85122
0400956,ASU Preparatory Academy (92716),2022 Dec 25 12:00:00 AM,In Person,1,115,Tempe,AZ,85281
0400959,Legacy Traditional School - Phoenix (873957),2022 Dec 25 12:00:00 AM,In Person,1,"1,429",PHOENIX,AZ,85037
0405030,Miami Unified District (4211),2022 Dec 25 12:00:00 AM,In Person,5,"1,031",MIAMI,AZ,85539
0405070,Mingus Union High School District (4488),2022 Dec 25 12:00:00 AM,In Person,2,"1,273",COTTONWOOD,AZ,86326
0405100,Mobile Elementary District (4253),2022 Dec 25 12:00:00 AM,In Person,1,24,MARICOPA,AZ,85139
0405190,Mohave Valley Elementary District (4379),2022 Dec 25 12:00:00 AM,In Person,3,"1,026",MOHAVE VALLEY,AZ,86440
0405220,Mohawk Valley Elementary District (4503),2022 Dec 25 12:00:00 AM,In Person,1,141,Roll,AZ,85347
0405320,Morenci Unified District (4230),2022 Dec 25 12:00:00 AM,In Person,3,"1,492",MORENCI,AZ,85540
0405340,Morristown Elementary District (4251),2022 Dec 25 12:00:00 AM,In Person,1,102,Morristown,AZ,85342
0405400,Murphy Elementary District (4265),2022 Dec 25 12:00:00 AM,In Person,3,"1,564",PHOENIX,AZ,85009
0405430,Naco Elementary District (4176),2022 Dec 25 12:00:00 AM,In Person,1,315,Naco,AZ,85620
0405500,Navajo County Accommodation District #99 (4386),2022 Dec 25 12:00:00 AM,In Person,1,21,HOLBROOK,AZ,86025
0405530,Nogales Unified District (4457),2022 Dec 25 12:00:00 AM,In Person,11,"5,654",NOGALES,AZ,85621
0405670,Osborn Elementary District (4262),2022 Dec 25 12:00:00 AM,In Person,6,"2,854",PHOENIX,AZ,85013
0405760,Tonto Basin Elementary District (4215),2022 Dec 25 12:00:00 AM,In Person,1,70,Tonto Basin,AZ,85553
0405820,Page Unified District (4196),2022 Dec 25 12:00:00 AM,In Person,6,"2,610",Page,AZ,86040
0405850,Palo Verde Elementary District (4275),2022 Dec 25 12:00:00 AM,In Person,1,458,Palo Verde,AZ,85343
0405880,Palominas Elementary District (4180),2022 Dec 25 12:00:00 AM,In Person,3,957,HEREFORD,AZ,85615
0405930,Paradise Valley Unified District (4241),2022 Dec 25 12:00:00 AM,In Person,44,"30,999",PHOENIX,AZ,85032
0405980,Parker Unified School District (4510),2022 Dec 25 12:00:00 AM,In Person,6,"1,931",PARKER,AZ,85344
0406070,Payson Unified District (4209),2022 Dec 25 12:00:00 AM,In Person,6,"2,447",PAYSON,AZ,85541
0406150,Pearce Elementary District (4186),2022 Dec 25 12:00:00 AM,In Person,1,129,Pearce,AZ,85625
0500044,MAGNOLIA SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,5,"2,788",MAGNOLIA,AR,71753
0500045,RIVERCREST SCHOOL DISTRICT #57,2022 Dec 25 12:00:00 AM,In Person,2,"1,149",WILSON,AR,72395
0500046,MANILA SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,"1,111",MANILA,AR,72442
0500047,TRUMANN SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,3,"1,543",TRUMANN,AR,72472
0500049,DEQUEEN SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,5,"2,382",DE QUEEN,AR,71832
0500051,PALESTINE-WHEATLEY SCH. DIST.,2022 Dec 25 12:00:00 AM,In Person,2,828,PALESTINE,AR,72372
0500055,BENTON COUNTY SCHOOL OF ARTS,2022 Dec 25 12:00:00 AM,In Person,2,"1,113",ROGERS,AR,72756
0500059,ACADEMICS PLUS CHARTER SCHOOL,2022 Dec 25 12:00:00 AM,In Person,3,"1,552",MAUMELLE,AR,72113
0500061,IMBODEN CHARTER SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,1,58,IMBODEN,AR,72434
0500065,LAFAYETTE COUNTY SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,545,LEWISVILLE,AR,71845
0500067,CLEVELAND COUNTY SCHOOL DIST.,2022 Dec 25 12:00:00 AM,In Person,2,840,RISON,AR,71665
0500070,CEDAR RIDGE SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,699,NEWARK,AR,72562
0500071,HILLCREST SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,471,STRAWBERRY,AR,72469
0500072,DEER/MT. JUDEA SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,454,DEER,AR,72628
0500073,OUACHITA RIVER SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,3,763,MENA,AR,71953
0500074,LISA ACADEMY CHARTER,2022 Dec 25 12:00:00 AM,In Person,7,"2,825",Little Rock,AR,72205
0500076,OZARK MOUNTAIN SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,3,620,ST JOE,AR,72675
0500078,HAAS HALL ACADEMY,2022 Dec 25 12:00:00 AM,In Person,4,"1,001",FAYETTEVILLE,AR,72730
0500079,TWO RIVERS SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,872,PLAINVIEW,AR,72857
0500082,LAWRENCE COUNTY SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,"1,002",WALNUT RIDGE,AR,72476
0500044,MAGNOLIA SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,5,"2,788",MAGNOLIA,AR,71753
0500045,RIVERCREST SCHOOL DISTRICT #57,2022 Dec 25 12:00:00 AM,In Person,2,"1,149",WILSON,AR,72395
0500046,MANILA SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,"1,111",MANILA,AR,72442
0500047,TRUMANN SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,3,"1,543",TRUMANN,AR,72472
0500049,DEQUEEN SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,5,"2,382",DE QUEEN,AR,71832
0500051,PALESTINE-WHEATLEY SCH. DIST.,2022 Dec 25 12:00:00 AM,In Person,2,828,PALESTINE,AR,72372
0500055,BENTON COUNTY SCHOOL OF ARTS,2022 Dec 25 12:00:00 AM,In Person,2,"1,113",ROGERS,AR,72756
0500059,ACADEMICS PLUS CHARTER SCHOOL,2022 Dec 25 12:00:00 AM,In Person,3,"1,552",MAUMELLE,AR,72113
0500061,IMBODEN CHARTER SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,1,58,IMBODEN,AR,72434
0500065,LAFAYETTE COUNTY SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,545,LEWISVILLE,AR,71845
0500067,CLEVELAND COUNTY SCHOOL DIST.,2022 Dec 25 12:00:00 AM,In Person,2,840,RISON,AR,71665
0500070,CEDAR RIDGE SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,699,NEWARK,AR,72562
0500071,HILLCREST SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,471,STRAWBERRY,AR,72469
0500072,DEER/MT. JUDEA SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,454,DEER,AR,72628
0500073,OUACHITA RIVER SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,3,763,MENA,AR,71953
0500074,LISA ACADEMY CHARTER,2022 Dec 25 12:00:00 AM,In Person,7,"2,825",Little Rock,AR,72205
0500076,OZARK MOUNTAIN SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,3,620,ST JOE,AR,72675
0500078,HAAS HALL ACADEMY,2022 Dec 25 12:00:00 AM,In Person,4,"1,001",FAYETTEVILLE,AR,72730
0500079,TWO RIVERS SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,872,PLAINVIEW,AR,72857
0500082,LAWRENCE COUNTY SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,"1,002",WALNUT RIDGE,AR,72476
0507840,HOPE SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,6,"2,408",HOPE,AR,71801
0507890,HOT SPRINGS SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,6,"3,708",HOT SPRINGS,AR,71913
0507920,JESSIEVILLE SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,3,873,JESSIEVILLE,AR,71949
0507990,HOXIE SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,859,HOXIE,AR,72433
0508040,WEST MEMPHIS SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,10,"5,304",WEST MEMPHIS,AR,72301
0508130,HUNTSVILLE SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,6,"2,304",HUNTSVILLE,AR,72740
0508240,JASPER SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,6,891,JASPER,AR,72641
0508280,JONESBORO SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,11,"6,719",JONESBORO,AR,72401
0508400,RIVERVIEW SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,4,"1,232",SEARCY,AR,72143
0508610,LAKE HAMILTON SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,6,"4,467",PEARCY,AR,71964
0508670,LAKESIDE SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,4,"3,570",HOT SPRINGS,AR,71901
0508700,LAMAR SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,3,"1,396",LAMAR,AR,72846
0509000,LITTLE ROCK SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,43,"23,237",LITTLE ROCK,AR,72201
0509060,LONOKE SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,4,"1,725",LONOKE,AR,72086
0509150,MAGAZINE SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,590,MAGAZINE,AR,72943
0509190,MAGNET COVE SCHOOL DIST.,2022 Dec 25 12:00:00 AM,In Person,2,753,MALVERN,AR,72104
0509240,MALVERN SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,4,"2,009",MALVERN,AR,72104
0509270,MAMMOTH SPRING SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,520,MAMMOTH SPRING,AR,72554
0509330,MANSFIELD SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,3,757,MANSFIELD,AR,72944
0509360,LEE COUNTY SCHOOL DISTRICT,2022 Dec 25 12:00:00 AM,In Person,2,644,MARIANNA,AR,72360
0600035,Farmersville Unified,2022 Dec 25 12:00:00 AM,In Person,6,"2,530",Farmersville,CA,93223
0600036,Natomas Unified,2022 Dec 25 12:00:00 AM,In Person,18,"13,767",Sacramento,CA,95834
0600037,Ferndale Unified,2022 Dec 25 12:00:00 AM,In Person,2,455,Ferndale,CA,95536
0600039,Delhi Unified,2022 Dec 25 12:00:00 AM,In Person,5,"2,580",Delhi,CA,95315
0600040,Riverdale Joint Unified,2022 Dec 25 12:00:00 AM,In Person,4,"1,559",Riverdale,CA,93656
0600042,Warner Unified,2022 Dec 25 12:00:00 AM,In Person,3,204,Warner Springs,CA,92086
0600043,Scotts Valley Unified,2022 Dec 25 12:00:00 AM,In Person,4,"2,445",Scotts Valley,CA,95066
0600044,Healdsburg Unified,2022 Dec 25 12:00:00 AM,In Person,4,"1,414",Healdsburg,CA,95448
0600045,Orland Joint Unified,2022 Dec 25 12:00:00 AM,In Person,6,"2,231",Orland,CA,95963
0600046,Gonzales Unified,2022 Dec 25 12:00:00 AM,In Person,3,"2,344",Gonzales,CA,93926
0600047,Tracy Joint Unified,2022 Dec 25 12:00:00 AM,In Person,20,"14,548",Tracy,CA,95376
0600048,Paso Robles Joint Unified,2022 Dec 25 12:00:00 AM,In Person,12,"6,869",Paso Robles,CA,93446
0600049,Coast Unified,2022 Dec 25 12:00:00 AM,In Person,4,582,Cambria,CA,93428
0600051,Gridley Unified,2022 Dec 25 12:00:00 AM,In Person,5,"2,087",Gridley,CA,95948
0600052,Eureka City Schools,2022 Dec 25 12:00:00 AM,In Person,8,"3,674",Eureka,CA,95501
0600060,Hughson Unified,2022 Dec 25 12:00:00 AM,In Person,6,"2,095",Hughson,CA,95326
0600061,Riverbank Unified,2022 Dec 25 12:00:00 AM,In Person,6,"3,012",Riverbank,CA,95367
0600062,Oakdale Joint Unified,2022 Dec 25 12:00:00 AM,In Person,9,"5,420",Oakdale,CA,95361
0600063,Waterford Unified,2022 Dec 25 12:00:00 AM,In Person,5,"1,808",Waterford,CA,95386
0600064,Porterville Unified,2022 Dec 25 12:00:00 AM,In Person,22,"14,514",Porterville,CA,93257
0601896,Albert Einstein Academy Charter Middle District,2022 Dec 25 12:00:00 AM,In Person,1,600,San Diego,CA,92102
0601902,El Camino Real Charter High District,2022 Dec 25 12:00:00 AM,In Person,1,"3,523",Woodland Hills,CA,91367
0601932,Latino College Preparatory Academy District,2022 Dec 25 12:00:00 AM,In Person,1,433,San Jose,CA,95127
0601940,Grossmont Secondary District,2022 Dec 25 12:00:00 AM,In Person,1,317,El Cajon,CA,92020
0601950,Alisal Union,2022 Dec 25 12:00:00 AM,In Person,12,"8,524",Salinas,CA,93905
0601963,Venture Academy District,2022 Dec 25 12:00:00 AM,In Person,1,"1,541",Stockton,CA,95206
0601970,Taylion High Desert Academy/Adelanto District,2022 Dec 25 12:00:00 AM,In Person,1,170,Adelanto,CA,92301
0601977,Knowledge Enlightens You (KEY) Academy District,2022 Dec 25 12:00:00 AM,In Person,1,589,Hayward,CA,94541
0601978,Stone Bridge District,2022 Dec 25 12:00:00 AM,In Person,1,272,Napa,CA,94558
0601980,Allensworth Elementary,2022 Dec 25 12:00:00 AM,In Person,1,82,Allensworth,CA,93219
0602002,Old Town Academy K-8 Charter District,2022 Dec 25 12:00:00 AM,In Person,1,265,San Diego,CA,92110
0602010,Alpaugh Unified,2022 Dec 25 12:00:00 AM,In Person,3,336,Alpaugh,CA,93201
0602026,Summit Public School: Tamalpais District,2022 Dec 25 12:00:00 AM,In Person,1,446,Richmond,CA,94806
0602035,Pacific Springs Charter District,2022 Dec 25 12:00:00 AM,In Person,1,509,Chula Vista,CA,91913
0602038,Luis Valdez Leadership Academy District,2022 Dec 25 12:00:00 AM,In Person,1,346,San Jose,CA,95122
0602045,STEM Preparatory Elementary District,2022 Dec 25 12:00:00 AM,In Person,1,244,Los Angeles,CA,90007
0602049,High Tech Elementary Mesa District,2022 Dec 25 12:00:00 AM,In Person,1,212,San Diego,CA,92111
0602056,KIPP Philosophers Academy District,2022 Dec 25 12:00:00 AM,In Person,1,238,Los Angeles,CA,90001
0602070,Alpine County Unified,2022 Dec 25 12:00:00 AM,In Person,3,70,Markleeville,CA,96120
0602072,Alder Grove Charter School 2 District,2022 Dec 25 12:00:00 AM,In Person,1,449,Eureka,CA,95501
0604440,Bellflower Unified,2022 Dec 25 12:00:00 AM,In Person,15,"11,405",Bellflower,CA,90706
0604500,Belleview Elementary,2022 Dec 25 12:00:00 AM,In Person,2,177,Sonora,CA,95370
0604530,Belmont-Redwood Shores Elementary,2022 Dec 25 12:00:00 AM,In Person,7,"4,314",Belmont,CA,94002
0604620,Benicia Unified,2022 Dec 25 12:00:00 AM,In Person,8,"4,642",Benicia,CA,94510
0604740,Berkeley Unified,2022 Dec 25 12:00:00 AM,In Person,17,"9,844",Berkeley,CA,94702
0604800,Berryessa Union Elementary,2022 Dec 25 12:00:00 AM,In Person,14,"6,842",San Jose,CA,95132
0604830,Beverly Hills Unified,2022 Dec 25 12:00:00 AM,In Person,6,"3,572",Beverly Hills,CA,90212
0604950,Big Pine Unified,2022 Dec 25 12:00:00 AM,In Person,2,150,Big Pine,CA,93513
0604980,Big Springs Union Elementary,2022 Dec 25 12:00:00 AM,In Person,1,175,Montague,CA,96064
0605010,Big Valley Joint Unified,2022 Dec 25 12:00:00 AM,In Person,2,111,Bieber,CA,96009
0605040,Biggs Unified,2022 Dec 25 12:00:00 AM,In Person,3,605,Biggs,CA,95917
0605220,Black Butte Union Elementary,2022 Dec 25 12:00:00 AM,In Person,2,227,Shingletown,CA,96088
0605240,Black Oak Mine Unified,2022 Dec 25 12:00:00 AM,In Person,6,"1,286",Georgetown,CA,95634
0605250,Blake Elementary,2022 Dec 25 12:00:00 AM,In Person,1,16,Woody,CA,93287
0605400,Blue Lake Union Elementary,2022 Dec 25 12:00:00 AM,In Person,1,164,Blue Lake,CA,95525
0605490,Bogus Elementary,2022 Dec 25 12:00:00 AM,In Person,1,19,Montague,CA,96064
0605580,Santa Maria-Bonita,2022 Dec 25 12:00:00 AM,In Person,21,"16,959",Santa Maria,CA,93454
0605610,Bonita Unified,2022 Dec 25 12:00:00 AM,In Person,15,"10,039",San Dimas,CA,91773
0605700,Borrego Springs Unified,2022 Dec 25 12:00:00 AM,In Person,3,373,Borrego Springs,CA,92004
0605730,Bradley Union Elementary,2022 Dec 25 12:00:00 AM,In Person,1,70,Bradley,CA,93426
0610260,Culver City Unified,2022 Dec 25 12:00:00 AM,In Person,9,"7,106",Culver City,CA,90232
0610290,Cupertino Union,2022 Dec 25 12:00:00 AM,In Person,25,"16,718",Sunnyvale,CA,94087
0610350,Cutler-Orosi Joint Unified,2022 Dec 25 12:00:00 AM,In Person,8,"4,123",Orosi,CA,93647
0610380,Cutten Elementary,2022 Dec 25 12:00:00 AM,In Person,2,639,Eureka,CA,95503
0610440,Cypress Elementary,2022 Dec 25 12:00:00 AM,In Person,6,"3,813",Cypress,CA,90630
0610620,Davis Joint Unified,2022 Dec 25 12:00:00 AM,In Person,17,"8,546",Davis,CA,95616
0610740,Del Mar Union Elementary,2022 Dec 25 12:00:00 AM,In Person,8,"4,132",San Diego,CA,92130
0610770,Del Norte County Unified,2022 Dec 25 12:00:00 AM,In Person,11,"3,706",Crescent City,CA,95531
0610860,Delano Joint Union High,2022 Dec 25 12:00:00 AM,In Person,4,"4,263",Delano,CA,93215
0610890,Delano Union Elementary,2022 Dec 25 12:00:00 AM,In Person,12,"6,687",Delano,CA,93215
0611040,Denair Unified,2022 Dec 25 12:00:00 AM,In Person,5,"1,315",Denair,CA,95316
0611100,Desert Center Unified,2022 Dec 25 12:00:00 AM,In Person,1,28,Desert Center,CA,92239
0611110,Desert Sands Unified,2022 Dec 25 12:00:00 AM,In Person,34,"27,963",La Quinta,CA,92253
0611220,Miller Creek Elementary,2022 Dec 25 12:00:00 AM,In Person,4,"2,024",San Rafael,CA,94903
0611280,Dixon Unified,2022 Dec 25 12:00:00 AM,In Person,7,"3,081",Dixon,CA,95620
0611460,Downey Unified,2022 Dec 25 12:00:00 AM,In Person,21,"22,101",Downey,CA,90241
0611490,Dry Creek Joint Elementary,2022 Dec 25 12:00:00 AM,In Person,10,"6,681",Roseville,CA,95747
0611520,Duarte Unified,2022 Dec 25 12:00:00 AM,In Person,7,"3,433",Duarte,CA,91010
0611610,Dunham Elementary,2022 Dec 25 12:00:00 AM,In Person,2,168,Petaluma,CA,94952
